"disfavoured.word","response.lower","entrained","interlocutor.SES","session.order","set","group","participantID","stimuli.order","f","experiment"
"serpent","snake",0,"L",1,1,"no prime","7bce413172fa069cf6012eca2dca9298a625ab5a",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","213b949e2a01f33488784b1d5ff308b9aa03bff6",1,0,"experiment 1"
"serpent","serpent",1,"L",1,1,"no prime","60977a0c21d2cca73ee270fecf6285124c2416f6",1,0,"experiment 1"
"serpent","snake",0,"L",1,1,"no prime","4f2e2ed997b598ac5ad3194dad51c209f8ae9d61",1,0,"experiment 1"
"serpent","serpent",1,"L",1,1,"no prime","6966f0931ee30502666852bfd9282f73adf39cf1",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","462229963959fdfa85f9baedb9a5108435ab7fa5",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","db44212347c01eb9b17283c4fb89a713f62f21b5",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","d5306cf6019de7c727da748ad116ee8809f0b5d0",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","921c1e4e0530da72a02848a0ab627af5f3e18695",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","d2b327ef16bf9fe7242ae4ebe079b45b6fb06eaf",1,0,"experiment 1"
"serpent","serpent",1,"L",2,1,"no prime","45e72b936f4a61c20f71d594d263093cb93508d7",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","e85bf5bba6a3ff97686871436189da599ecffaa0",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","f69e361cfb885a58097d59fbacf5de21c52f0201",1,0,"experiment 1"
"serpent","serpent",1,"L",2,1,"no prime","0b8312fa5f0f5643a9014a28bed0c1e881d78589",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","8e3e764e9bbe52b740807d68ddaf01b16b2fde7d",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","c777126b491a313ba4750ad3908370d9c9f93188",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","0145a7fc9dd096d7419a46dbdee3e1abd569223f",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","1180de389df859f523fd99321c62603fe8b4cc6e",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","9b8ae110747fb06429f67a0ac6d23819655b2d80",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","6b28368167370d6391a844b3583cad1625bebef9",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","2adba5364d326287b977be4cfaf9fd65472a6744",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","8b9946fc7b5f68b0a6521b25e03dc34fec1a33ae",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","75ed65bb6d8f023da74c31a5d5a81195ef5d4eb3",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","910a16866b26c9994e04759718bc8c91fe2adab6",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","69f9fd1e7b5d72d0e00280f2822214a0cd38b5eb",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","b7258b877524c800dc564b681b2b97052e656817",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","6727af98c8fd8985d4067d8676e40c7c1d7a3312",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","62e898ff2ca0ad5d68d82f1f2bfd6b09cbe2adb8",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","63b86bc4543b3b976238a308aedb5843086ad607",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","46a90e5e60bff735df36e031593fd18958359a82",1,0,"experiment 1"
"serpent","snake",0,"L",2,1,"no prime","fa6f610ac4141918bf967cced76e3fb94cdf82b9",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","f75a22a4958f1b9fa0c1c2c58f518b250c278f5e",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","930e5549449163b32bb273949176fe3b66c7b5b5",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","234a04cafb72fd63598c1f1fde1a7e11840b60fa",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","0d5f62cebd7145c5338e5f41196da6ed8271ffa4",1,0,"experiment 1"
"serpent","snake",0,"H",2,1,"no prime","c999dcc33d4158d34d629b963449df4e3e7bdb37",1,0,"experiment 1"
