label;prolific_id;response_lower;entrained;condition;gender_participant;age;sim;stimuli_order;set;order;f;experiment;group;gender_partner;randomBlock
serpent;6e92fcef4028bb65206aac6b2e74d9d524115baf;snake;0;L;female;30;0.2916;1;1;1;0;experiment 1;no prime;NA;NA
serpent;25aa691040e3798ddf285776cddad172ba90d769;snake;0;L;female;28;0.359;1;1;1;0;experiment 1;no prime;NA;NA
serpent;48aa63e709c5eb37b063e70e8428e1750a1fa29e;snake;0;L;female;26;0.3189;1;1;1;0;experiment 1;no prime;NA;NA
serpent;9fb39a6d9690d2f922dd76e52838718cf13ddd42;snake;0;L;female;28;0.4029;1;1;1;0;experiment 1;no prime;NA;NA
serpent;4e113922b98c2366c74ad589a405e128d2f09b98;snake;0;L;female;26;0.1952;1;1;1;0;experiment 1;no prime;NA;NA
serpent;4b37aedfae007a2fbe5ff11db1288bdf8b93a7b2;snake;0;L;female;27;0.4094;1;1;1;0;experiment 1;no prime;NA;NA
serpent;24424951ec431287906b0e6d3788c05c1d59af0c;snake;0;L;female;23;0.2881;1;1;1;0;experiment 1;no prime;NA;NA
serpent;c58bdb9b929e8bd6f293e218c8ff2d15bed112e8;serpent;1;L;female;21;0.3092;1;1;1;0;experiment 1;no prime;NA;NA
serpent;7bce413172fa069cf6012eca2dca9298a625ab5a;snake;0;L;female;22;0.3024;1;1;1;0;experiment 1;no prime;NA;NA
serpent;213b949e2a01f33488784b1d5ff308b9aa03bff6;snake;0;L;female;23;0.386;1;1;1;0;experiment 1;no prime;NA;NA
serpent;60977a0c21d2cca73ee270fecf6285124c2416f6;serpent;1;L;female;22;0.3014;1;1;1;0;experiment 1;no prime;NA;NA
serpent;4f2e2ed997b598ac5ad3194dad51c209f8ae9d61;snake;0;L;female;29;0.3704;1;1;1;0;experiment 1;no prime;NA;NA
serpent;6966f0931ee30502666852bfd9282f73adf39cf1;serpent;1;L;female;22;0.5125;1;1;1;0;experiment 1;no prime;NA;NA
serpent;462229963959fdfa85f9baedb9a5108435ab7fa5;snake;0;L;female;29;0.3799;1;1;2;0;experiment 1;no prime;NA;NA
serpent;db44212347c01eb9b17283c4fb89a713f62f21b5;snake;0;L;female;22;0.2457;1;1;2;0;experiment 1;no prime;NA;NA
serpent;d5306cf6019de7c727da748ad116ee8809f0b5d0;snake;0;L;female;30;0.4433;1;1;2;0;experiment 1;no prime;NA;NA
serpent;921c1e4e0530da72a02848a0ab627af5f3e18695;snake;0;L;female;28;0.3223;1;1;2;0;experiment 1;no prime;NA;NA
serpent;d2b327ef16bf9fe7242ae4ebe079b45b6fb06eaf;snake;0;L;female;27;0.3643;1;1;2;0;experiment 1;no prime;NA;NA
serpent;45e72b936f4a61c20f71d594d263093cb93508d7;serpent;1;L;female;27;0.4781;1;1;2;0;experiment 1;no prime;NA;NA
serpent;e85bf5bba6a3ff97686871436189da599ecffaa0;snake;0;L;female;22;0.2263;1;1;2;0;experiment 1;no prime;NA;NA
serpent;f69e361cfb885a58097d59fbacf5de21c52f0201;snake;0;L;female;25;0.4167;1;1;2;0;experiment 1;no prime;NA;NA
serpent;0b8312fa5f0f5643a9014a28bed0c1e881d78589;serpent;1;L;female;23;0.3011;1;1;2;0;experiment 1;no prime;NA;NA
